variable,definition,category,unit,min,max,default
L_HEPPWatUseFlow,The flow of Water use by HEPP,lake,mm,,,
L_InflowtoLake,Daily amount of river water flows to Lake ,lake,mm,,,
L_Lake,Switch to decide an option whether the subcatchment lake or not. Value 1 means lake,lake,boolean,,,
L_LakeBottomElev,Bottom Lake Elevation,lake,m (asl),,,-160
L_LakeElevPreHEPP,Lake Elevation of pre Operating HEPP,lake,m (asl),,,-362.3
L_LakeLevel,Level of water in the lake,lake,m,,,
L_LakeLevelFullHEPP,Lake level of Full Operating HEPP,lake,m,,,-362.3
L_LakeLevelHalfHEPP,Lake level of Full Operating HEPP,lake,m,,,-361.8
L_LakeLevelNoHEPP,Lake level of Full Operating HEPP,lake,m,,,-359.5
L_LakeOverFlowFrac,Fraction of Overflow ,lake,,,,-0.1
L_LakeOverFlPostHEPP,Overflow post operating HEPP,lake,m,,,-362.6
L_LakeOverFlPow,Overflow power,lake,m,,,-4
L_LakeTranspMultiplier,Multiplication of Lake Evapotranspiration rate,lake,,0,5,1
L_LakeVol,Volume water in the lake,lake,m3,,,
L_m3_per_kwh,Water requirement  to produce Electricity per kwh,lake,m3,,,-1584
L_QmecsHEPP,Inflow to HEPP,lake,m3,,,-47.1
L_QmecsSanFlow,Sanitary Flow,lake,,,,-3
L_ResrDepth,The depth of reservoir,lake,m,,,-10000
L_RivOutFlow,Lake Outflow to the river,lake,mm,,,
O_BaseFlowAcc,Daily amount of base flow for the whole subcatchment and vegetation class,output,mm,,,
O_BestYHEPP,The Best year Estimation of HEPP operating ,output,kwh,,,
O_ChkAllCatchmAccFor,Overall balance of input and output of water in catchment level,output,mm,,,
O_ChkAllLakeAccFor,Overall balance of input and output of water in lake level,output,mm,,,
O_ChkAllRiverAccFor,Overall balance of input and output of water in river level,output,mm,,,
O_CumBaseFlow,Cumulative amount of base flow the whole subcatchment and vegetation class,output,mm,,,
O_CumBaseFlowMP,Cumulative amount of base flow for the whole subcatchment and vegetation class for each transition period,output,mm,,,
O_CumDebitDataMP,Cumulative amount of actual river flow data for the whole subcatchment for each transition period,output,mm,,,
O_CumDebitPredMP,Cumulative amount of prediction river flow data for the whole subcatchment for each transition period,output,mm,,,
O_CumDeepInfilt,Cumulative amount of water deeply infiltrate to the soil for the whole subcatchment,output,mm,,,
O_CumETLandMP,Cumulative amount of evapotranspiration for the whole subcatchment and vegetation class for each transition period,output,mm,,,
O_CumEvapotrans,,output,,,,
O_CumEvapotransMP,,output,,,,
O_CumHEPPOutflowMP,Cumulative HEPP Outflow on Each Transition Period,output,mm,,,
O_CumInfiltration,Cumulative amount of water  infiltrate to the soil for the whole subcatchment,output,mm,,,
O_CumInfiltrationMP,,output,,,,
O_CumInterceptEvap,Cumulative amount of water evaporated from intercepted water for the whole subcatchment and vegetation class ,output,mm,,,
O_CumInterceptEvapMP,,output,,,,
O_CumPercolation,Cumulative amount of percolation water for the whole subcatchment,output,mm,,,
O_CumRain,Cumulative amount of daily rainfall for the whole subcatchment and vegetation class,output,mm,,,
O_CumRainMP,Cumulative amount of daily rainfall for the whole subcatchment and vegetation class for each transition period,output,mm,,,
O_CumRivInflowToLakeMP,Cumulative amount of river water flows to Lake on each transition period,output,mm,,,
O_CumRivOutFlowMP,Cumulative amount of river water out flow for each transition period,output,mm,,,
O_CumSoilQFlow,Cumulative amount of soil quick flow for the whole subcatchment and vegetation class,output,mm,,,
O_CumSoilQFlowMP,Cumulative amount of soil quick flow for the whole subcatchment and vegetation class for each transition period,output,mm,,,
O_CumSurfQFlow,Cumulative amount of surface quick flow for the whole subcatchment and vegetation class,output,mm,,,
O_CumSurfQFlowMP,Cumulative amount of surface quick flow for the whole subcatchment and vegetation class for each transition period,output,mm,,,
O_CumTransp,Cumulative amount of evapotranspiration for the whole subcatchment and vegetation class,output,mm,,,
O_CumTranspMP,,output,,,,
O_DeepInfAcc,,output,,,,
O_DeltaGWStock,Changing in ground water stock ,output,mm,,,
O_EvapotransAcc,,output,,,,
O_FrBaseFlow,Cumulative amount of base flow relative to cumulative amount of river flow,output,mm,,,
O_FrSoilQuickflow,Cumulative amount of soil quick flow relative to cumulative amount of river flow,output,mm,,,
O_FrSurfQuickFlow,Cumulative amount of surface quick flow relative to cumulative amount of river flow,output,mm,,,
O_HEPP kwh per day,Amount of water used in mm day-1 for whole catchment,output,mm,,,
O_InfAcc,,output,,,,
O_IntercAcc,Daily amount of water evaporated from intercepted water for the whole subcatchment and vegetation class,output,mm,,,
O_MperiodeLength,Daily simulation period ,output,day,,,-365
O_PercAcc,,output,,,,
O_RainAcc,Daily amount of rainfall for the whole subcatchment,output,mm,,,
O_RelOpTimeHEPP,Time operating of HEPP per simulation period,output,mm,,,
O_SoilQFlowAcc,Daily amount of soil quick flow for the whole subcatchment and vegetation class,output,mm,,,
O_StartDOY,Starting day to begin simulation ,output,day,,,0
O_StartMYear,Starting year of begin simulation ,output,year,,,
O_SurfQFlowAcc,Daily amount of surface quick flow for the whole subcatchment and vegetation class,output,mm,,,
O_TotStream flow,"Cumulative amount of surface quick flow, soil quick flow and base flow for the whole subcatchment and vegetation class ",output,mm,,,
O_WorstYHEPP,The Worse year Estimation of HEPP operating,output,kwh,,,
S_TrampMax,Maximum soil tramping factor,soil,,,,-100
